#
# IPA Symbols
#
# Version: 0.0.8
# Date:    2016-06-07
#
# Syntax:
# desc,unic
#
# desc = description of the IPA symbol
# unic = Unicode hexadecimal code point(s):
#        N/A       = Unicode codepoint not available
#        xxxx      = single Unicode codepoint
#        xxxx xxxx = alternative Unicode codepoints, the first is the canonical
#        xxxx_xxxx = sequence of Unicode codepoints
#
#
# Notes:
#   1. Articulations believed to be impossible are not listed
voiceless retroflex       ejective-affricate            consonant,0288_0361_0282_02BC 0074_035C_0282_02BC
voiceless palatal         lateral-ejective-affricate    consonant,0063_0361_028E_031D_0325_02BC 0063_035C_028E_031D_0325_02BC
voiceless alveolo-palatal ejective-affricate            consonant,0074_0255_02BC
voiceless velar           ejective-affricate            consonant,006B_0361_0078_02BC 006B_035C_0078_02BC
voiceless velar           lateral-ejective-affricate    consonant,006B_0361_029F_031D_030A_02BC 006B_035C_029F_031D_030A_02BC
voiceless uvular          ejective-affricate            consonant,0071_0361_03C7_02BC 0071_035C_03C7_02BC





#############
#   VOWEL   #
#############

#############
#   close   #
#############

close     front       unrounded vowel,0069
close     front         rounded vowel,0079
close     central     unrounded vowel,0268
close     central       rounded vowel,0289 00FC
close     back        unrounded vowel,026F
close     back          rounded vowel,0075

##################
#   near-close   #
##################

near-close near-front unrounded vowel,026A 0069_033D
near-close near-front   rounded vowel,028F 0079_033D
near-close central    unrounded vowel,026A_0308 0268_031E 1D7B 0258_031D
near-close central      rounded vowel,028A_0308 0289_031E 1D7F
near-close near-back  unrounded vowel,026F_033D 026F_031E_0308 028A_031C 03C9
near-close near-back    rounded vowel,028A 0075_033D

#################
#   close-mid   #
#################

close-mid front       unrounded vowel,0065
close-mid front         rounded vowel,00F8
close-mid central     unrounded vowel,0258
close-mid central       rounded vowel,0275
close-mid back        unrounded vowel,0264
close-mid back          rounded vowel,006F

###########
#   mid   #
###########

mid       front       unrounded vowel,0065_031E 025B_031D
mid       front         rounded vowel,00F8_031E 0153_031D
mid       central     unrounded vowel,0259
mid       central       rounded vowel,0275_031E 0259_0339 025E_031D
mid       back        unrounded vowel,0264_031E 028C_031D
mid       back          rounded vowel,006F_031E 0254_031D

# NOT in IPA chart
mid       central     unrounded rhotacized vowel,025A 0259_02DE

################
#   open-mid   #
################

open-mid  front       unrounded vowel,025B
open-mid  front         rounded vowel,0153
open-mid  central     unrounded vowel,025C 025B_0308
open-mid  central       rounded vowel,025E 0254_0308
open-mid  back        unrounded vowel,028C
open-mid  back          rounded vowel,0254

# NOT in IPA chart
open-mid  central     unrounded rhotacized vowel,025D 028C_02DE

#################
#   near-open   #
#################

near-open front       unrounded vowel,00E6
#near-open front         rounded vowel,???
near-open central     unrounded vowel,0250 0250_031C
near-open central       rounded vowel,0250_0339 025E_031E 0254_031E_0308
#near-open back        unrounded vowel,???
#near-open back          rounded vowel,???

############
#   open   #
############

open      front       unrounded vowel,0061 0061_031F 00E6_031E
open      front         rounded vowel,0276
open      central     unrounded vowel,0061_0308 0061_0320 0251_0308 0250_031E
open      central       rounded vowel,0252_0308 0276_0308 0276_0320
open      back        unrounded vowel,0251
open      back          rounded vowel,0252





#################
#   DIACRITIC   #
#################

ejective                    diacritic,02BC
tie-bar-above               diacritic,0361
tie-bar-below               diacritic,035C
voiceless                   diacritic,0325 030A
voiced                      diacritic,032C
aspirated                   diacritic,02B0
